BE,Multiplier,FailureRate (/h),System Unavailability (mean),CI low (2.5%),CI high (97.5%)
BE2,1,0.008570538550173127,0.31723880597014925,0.19390547263681593,0.44776119402985076
BE2,2,0.017141077100346253,0.4188308457711443,0.2935323383084577,0.542412935323383
BE2,3,0.02571161565051938,0.4889925373134328,0.35310945273631844,0.6070895522388059
BE2,4,0.034282154200692506,0.5451243781094527,0.4277363184079602,0.6467661691542289
BE2,5,0.04285269275086563,0.5879850746268657,0.48246268656716423,0.6965174129353234
