BE,Multiplier,FailureRate (/h),System Unavailability (mean),CI low (2.5%),CI high (97.5%)
BE4,1,0.0021426346375432817,0.31799751243781094,0.19390547263681593,0.46281094527363176
BE4,2,0.004285269275086563,0.32493781094527363,0.1890547263681592,0.4427860696517413
BE4,3,0.006427903912629845,0.3343283582089553,0.21890547263681592,0.45286069651741284
BE4,4,0.008570538550173127,0.33930348258706466,0.21380597014925373,0.46281094527363176
BE4,5,0.010713173187716408,0.3502985074626866,0.22375621890547265,0.47761194029850745
