BE,Multiplier,FailureRate (/h),System Unavailability (mean),CI low (2.5%),CI high (97.5%)
BE15,1,7.29e-06,0.0022966016991504247,0.0004997501249375312,0.004497751124437781
BE15,2,1.458e-05,0.0026079460269865067,0.0009870064967516248,0.004997501249375313
BE15,3,2.187e-05,0.002996251874062969,0.0009995002498750624,0.005497251374312844
BE15,4,2.916e-05,0.00331384307846077,0.0009995002498750624,0.005997001499250375
BE15,5,3.645e-05,0.0036701649175412297,0.0014992503748125937,0.006496751624187906
BE15,6,4.374e-05,0.004026486756621688,0.0014992503748125937,0.0069965017491254375
