BE,Multiplier,FailureRate (/h),System Unavailability (mean),CI low (2.5%),CI high (97.5%)
BE4,1,8e-07,0.002306596701649175,0.0004997501249375312,0.004497751124437781
BE4,2,1.6e-06,0.0022706146926536734,0.0004997501249375312,0.004497751124437781
BE4,3,2.4e-06,0.002322838580709645,0.0004997501249375312,0.004497751124437781
BE4,4,3.2e-06,0.002336331834082958,0.0004997501249375312,0.004997501249375313
BE4,5,4e-06,0.0023030984507746125,0.0004997501249375312,0.004497751124437781
BE4,6,4.8e-06,0.002265617191404298,0.0004997501249375312,0.004497751124437781
