BE,Multiplier,FailureRate (/h),System Unavailability (mean),CI low (2.5%),CI high (97.5%)
BE9,1,8.8e-06,0.0022966016991504247,0.0004997501249375312,0.004497751124437781
BE9,2,1.76e-05,0.0024012993503248372,0.0004997501249375312,0.004497751124437781
BE9,3,2.64e-05,0.002408295852073963,0.0004997501249375312,0.004997501249375313
BE9,4,3.52e-05,0.0024790104947526237,0.0004997501249375312,0.004997501249375313
BE9,5,4.4e-05,0.002523988005997001,0.0004997501249375312,0.004997501249375313
BE9,6,5.28e-05,0.002675912043978011,0.0009995002498750624,0.004997501249375313
