BE,Multiplier,FailureRate (/h),System Unavailability (mean),CI low (2.5%),CI high (97.5%)
BE1,1,0.008570538550173127,0.31799751243781094,0.18893034825870647,0.4379353233830845
BE1,2,0.017141077100346253,0.4167537313432836,0.2885572139303483,0.5523631840796019
BE1,3,0.02571161565051938,0.4858955223880597,0.348134328358209,0.6022388059701491
BE1,4,0.034282154200692506,0.5450497512437811,0.43271144278606966,0.6470149253731342
BE1,5,0.04285269275086563,0.5855099502487562,0.46741293532338307,0.6915422885572139
