BE,Multiplier,FailureRate (/h),System Unavailability (mean),CI low (2.5%),CI high (97.5%)
BE11,1,1.487e-05,0.002264117941029485,0.0004997501249375312,0.004497751124437781
BE11,2,2.974e-05,0.003070214892553723,0.0009995002498750624,0.005997001499250375
BE11,3,4.461e-05,0.003691154422788606,0.0009995002498750624,0.006496751624187906
BE11,4,5.948e-05,0.004509245377311344,0.001999000499750125,0.007508745627186338
BE11,5,7.435e-05,0.005079960019990005,0.0024987506246876563,0.00800849575212387
BE11,6,8.922e-05,0.005825587206396802,0.0024987506246876563,0.008995502248875561
