BE,Multiplier,FailureRate (/h),System Unavailability (mean),CI low (2.5%),CI high (97.5%)
BE16,1,5.7e-06,0.0022966016991504247,0.0004997501249375312,0.004497751124437781
BE16,2,1.14e-05,0.002562218890554723,0.0004997501249375312,0.004997501249375313
BE16,3,1.71e-05,0.0028263368315842082,0.0009995002498750624,0.005497251374312844
BE16,4,2.28e-05,0.0030882058970514745,0.0009995002498750624,0.005997001499250375
BE16,5,2.8499999999999998e-05,0.0033833083458270864,0.0009995002498750624,0.005997001499250375
BE16,6,3.42e-05,0.003720889555222389,0.001486756621689156,0.006496751624187906
