BE,Multiplier,FailureRate (/h),System Unavailability (mean),CI low (2.5%),CI high (97.5%)
BE4,1,8e-07,0.002306596701649175,0.0004997501249375312,0.004497751124437781
BE4,2,1.6e-06,0.0022706146926536734,0.0004997501249375312,0.004497751124437781
BE4,3,2.4e-06,0.002322838580709645,0.0004997501249375312,0.004497751124437781
BE4,4,3.2e-06,0.002336331834082958,0.0004997501249375312,0.004997501249375313
BE11,1,1.487e-05,0.0022966016991504247,0.0004997501249375312,0.004497751124437781
BE11,2,2.974e-05,0.003031734132933533,0.0009995002498750624,0.005497251374312844
BE11,3,4.461e-05,0.0037011494252873565,0.0014992503748125937,0.006496751624187906
BE11,4,5.948e-05,0.004374812593703147,0.001999000499750125,0.0074962518740629685
